all_flow_lemon,ipv4_flow,ipv6_flow,arp_flow,tcp_flow,udp_flow,icmp_flow,
76354031,69549662,6786914,18056,64030438,10612436,1579001,
76540783,69703824,6819503,18066,64193103,10633026,1582407,
76725070,69854485,6853068,18092,64353839,10652894,1585303,
76869221,69971619,6880091,18156,64480566,10667601,1587852,
77053258,70120521,6915193,18176,64643269,10686025,1590709,
77236049,70270609,6947845,18196,64804956,10703765,1593814,
77411529,70413858,6979463,18208,64953390,10726345,1596951,
77565571,70539893,7007402,18276,65078749,10750972,1600015,
77746567,70684499,7044488,18290,65231312,10777598,1604149,
77985003,70873828,7093620,18320,65432440,10809857,1608940,
78221117,71063367,7140265,18406,65630933,10842207,1614135,
78461907,71253434,7190836,18430,65830968,10876842,1619701,
78695669,71440613,7237348,18506,66021623,10914171,1624810,
78932392,71624399,7290213,18534,66217230,10949643,1630390,
79077985,71738822,7321376,18544,66333069,10975996,1633599,
79307802,71921796,7368219,18624,66519023,11014999,1638271,
79528889,72098698,7412204,18652,66703594,11046166,1643083,
79757950,72301994,7437977,18676,66893134,11080438,1648264,
80002016,72530140,7453840,18778,67095356,11116166,1653989,
80248044,72761694,7468243,18790,67300840,11151563,1658808,
80476760,72977524,7481084,18868,67493701,11182730,1663295,
80672761,73162886,7491507,18882,67657870,11209733,1666979,
80853120,73328668,7506052,18956,67807648,11236200,1670752,
81026752,73487974,7520342,18976,67945652,11267394,1675014,
81205961,73652759,7534780,19002,68090086,11297577,1679361,
81380267,73813293,7548353,19068,68226165,11330217,1684339,
81535025,73953157,7563293,19100,68343681,11362893,1689035,
81710910,74114180,7578051,19176,68472364,11405020,1693667,
81888249,74275458,7594179,19202,68606616,11443925,1697742,
82069189,74441203,7609107,19228,68747899,11478456,1702156,
82241170,74602388,7620022,19290,68893322,11501184,1706073,
82418071,74766385,7632895,19312,69040591,11526669,1709873,
82599828,74937354,7643626,19382,69193160,11551757,1713719,
82775034,75098717,7657499,19400,69338267,11576921,1718178,
82966519,75269677,7678034,19412,69495028,11607232,1722429,
83156689,75428919,7708967,19468,69656731,11631557,1726328,
83337694,75575232,7743578,19486,69805868,11658590,1730687,
83510979,75717380,7774700,19494,69944380,11689404,1734467,
83691799,75866276,7806558,19546,70094218,11716315,1738350,
83873849,76017996,7836880,19564,70246560,11741903,1742335,
84051840,76161027,7871962,19586,70396186,11766054,1746434,
84230139,76308670,7902442,19648,70544262,11790308,1751804,
84404990,76454411,7931544,19670,70688519,11816506,1755978,
84580139,76602989,7958042,19688,70830672,11845602,1759733,
84755922,76746652,7990139,19750,70969614,11878055,1763907,
84924972,76886511,8019281,19768,71104109,11907662,1768329,
85106453,77038865,8048458,19796,71256033,11932747,1772637,
85288538,77189356,8079906,19868,71407173,11959099,1776898,
85464504,77337876,8107389,19884,71549811,11988039,1781032,
85646766,77487681,8139874,19910,71690934,12023066,1786707,
85824983,77631756,8173882,19966,71828050,12058789,1791788,
85983807,77759947,8204429,19990,71948904,12091748,1796372,
86167402,77913944,8234057,20072,72103642,12116421,1800296,
86345673,78057631,8268535,20088,72250235,12143562,1804530,
86522645,78202034,8301139,20106,72398080,12168393,1808705,
86701810,78343333,8338845,20184,72545166,12196111,1812668,
86878932,78486110,8373299,20206,72690128,12224054,1816733,
87054669,78627440,8407618,20224,72831622,12253019,1821461,
87239070,78779463,8439803,20322,72983568,12279216,1826050,
87420386,78926497,8474171,20346,73133159,12304915,1830593,
87599078,79072312,8507022,20376,73278666,12332786,1835678,
87738241,79183647,8534728,20460,73386408,12359884,1839716,
87915382,79326499,8569015,20484,73521562,12396080,1844868,
88092932,79486679,8586189,20578,73660365,12429358,1849973,
88263785,79639226,8604574,20598,73788420,12466202,1855585,
88439149,79802047,8616980,20666,73918076,12506764,1860433,
88617332,79968287,8628845,20718,74046954,12550409,1865778,
88796480,80137943,8638406,20736,74190798,12580832,1870452,
88978613,80309311,8649027,20818,74344136,12605580,1874232,
89175077,80492985,8661975,20842,74510534,12631700,1878530,
89411142,80716897,8673973,20944,74703774,12668879,1883790,
89642864,80927389,8695229,20974,74889742,12707622,1890452,
89884394,81152483,8711604,21036,75100353,12733477,1895165,
90124809,81373147,8731296,21062,75301600,12766857,1900452,
90359165,81588471,8750336,21156,75487447,12809630,1905849,
90584624,81792949,8771187,21192,75672621,12843962,1911331,
90763843,81952687,8790452,21262,75816250,12874360,1915482,
90940456,82103159,8816354,21284,75961031,12900090,1920321,
91116932,82253651,8842450,21310,76103483,12930010,1924782,
91284208,82398346,8865089,21380,76235651,12960459,1929290,
91440830,82534703,8885295,21396,76353648,12994386,1933602,
91611837,82677999,8912826,21468,76490752,13022785,1938630,
91772565,82816513,8935235,21484,76616166,13053987,1942675,
91941786,82951925,8968955,21506,76750953,13083408,1947337,
92111821,83087418,9003456,21564,76886363,13112992,1952017,
92278452,83224466,9033010,21586,77019791,13141810,1956267,
92419362,83341370,9056804,21604,77133676,13164951,1959838,
92572460,83480746,9070593,21668,77261093,13187134,1963455,
92739585,83634265,9084139,21686,77397044,13213735,1967548,
92907693,83784870,9101593,21706,77522044,13252192,1971832,
93077538,83938700,9117613,21760,77658765,13281069,1976194,
93258962,84105484,9132220,21786,77811459,13305442,1980169,
93443672,84273497,9148899,21862,77959035,13337866,1984530,
93617572,84431494,9164180,21898,78091969,13372469,1989129,
93787257,84587008,9178841,21918,78230922,13399945,1993415,
93957685,84738704,9197530,21976,78367313,13429093,1998144,
94127398,84890268,9215737,22004,78503420,13457495,2002977,
94290923,85034981,9234387,22086,78631866,13486637,2008463,
94456701,85182202,9253085,22100,78762861,13516142,2013698,
94624072,85333355,9269103,22166,78888797,13551839,2018936,
94793590,85485522,9286452,22178,79019632,13585351,2023802,
